"HITID","Domain_Name","Worker1","Answer1","Worker2","Answer2","Worker3","Answer3","Worker4","Answer4","Worker5","Answer5","Worker6","Answer6","Worker7","Answer7","Worker8","Answer8","Worker9","Answer9","Worker10","Answer10","Avg","Date"
"243VWJ5OPB0YNTL3FLNBFEP98PKW4X","appsmarts.com","A1VKHE5L6QVFUV","1","A1XIFPI36695GY","2","A2BWMYV8JU7RO4","1","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","2","A2WNW8A4MOR7T7","1","A3G00Q5JV2BE5G","0","A3G3G7SCD88G1J","2","A3IHF1WH1B5MQI","1","A3SWVCOJPJM7KQ","2","1.3","Mon May 27 19:45:15 UTC 2013"
"2FNPQJQ9OPLLPPTP3QOGGKCOD7EZ1D","AppyWorld.com","A1VKHE5L6QVFUV","1","A1XIFPI36695GY","1","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","-1","A2QN0EGBRGJU1M","-1","A2WNW8A4MOR7T7","1","A3G00Q5JV2BE5G","1","A3G3G7SCD88G1J","2","A3IHF1WH1B5MQI","2","A3SWVCOJPJM7KQ","1","0.8","Mon May 27 19:43:34 UTC 2013"
"2FT49F9SSSHXTE5J4RK5P5F8XQ7TXJ","appsrace.com","A1VKHE5L6QVFUV","0","A1XIFPI36695GY","1","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","2","A2QN0EGBRGJU1M","0","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","1","A3G3G7SCD88G1J","1","A3IHF1WH1B5MQI","1","A3SWVCOJPJM7KQ","0","0.7","Mon May 27 19:43:51 UTC 2013"
"28J4IXKO2L929RYRR5O36OCCTMWCDI","appstatic.com","A1VKHE5L6QVFUV","0","A1XIFPI36695GY","1","A2BWMYV8JU7RO4","1","A2GXHECU31O81V","1","A2QN0EGBRGJU1M","-1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","1","A3G3G7SCD88G1J","2","A3IHF1WH1B5MQI","-1","A3SWVCOJPJM7KQ","2","0.6","Mon May 27 19:43:55 UTC 2013"
"2ETAT2D5NQYNXSPLHI751YMNQII48R","AppsPost.com","A1VKHE5L6QVFUV","0","A1XIFPI36695GY","1","A2BWMYV8JU7RO4","0","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","2","A3G3G7SCD88G1J","0","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","1","0.6","Mon May 27 19:44:02 UTC 2013"
"26ZIT3HVWAVKAJOI0PT1F2Z9NC1EMV","AppSpectrum.com","A1VKHE5L6QVFUV","0","A1XIFPI36695GY","2","A2BWMYV8JU7RO4","1","A2GXHECU31O81V","-2","A2QLSHXNCHBRN4","1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","1","A3G3G7SCD88G1J","0","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","1","0.4","Mon May 27 19:44:50 UTC 2013"
"2IKA1QP6AUC2YQ21OCSXBV0FYMW70R","Applix.com","A1VKHE5L6QVFUV","0","A1XIFPI36695GY","-1","A2BWMYV8JU7RO4","0","A2GXHECU31O81V","1","A2QLSHXNCHBRN4","0","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","1","A3G3G7SCD88G1J","1","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","2","0.4","Mon May 27 19:44:45 UTC 2013"
"2C914IXKO2L9UU07D9XXBYOCQ1KCBB","Appsist.com","A1VKHE5L6QVFUV","-2","A1XIFPI36695GY","2","A2BWMYV8JU7RO4","-1","A2GXHECU31O81V","1","A2QN0EGBRGJU1M","1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","1","A3G3G7SCD88G1J","1","A3IHF1WH1B5MQI","0","A3SWVCOJPJM7KQ","1","0.4","Mon May 27 19:43:24 UTC 2013"
"2OOO33FDEY5CG9MGXQQ3GCRFZYPR09","EdenApps.com","A1VKHE5L6QVFUV","1","A1XIFPI36695GY","1","A2BWMYV8JU7RO4","1","A2GXHECU31O81V","0","A2QN0EGBRGJU1M","-1","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","1","A3G3G7SCD88G1J","1","A3IHF1WH1B5MQI","1","A3SWVCOJPJM7KQ","-2","0.3","Mon May 27 19:43:37 UTC 2013"
"2P546UXFCD45PP0O4CJN1KINHFZTVG","applada.com","A1VKHE5L6QVFUV","-1","A1XIFPI36695GY","1","A2BWMYV8JU7RO4","1","A2GXHECU31O81V","1","A2QN0EGBRGJU1M","0","A2WNW8A4MOR7T7","0","A3G00Q5JV2BE5G","0","A3G3G7SCD88G1J","0","A3IHF1WH1B5MQI","1","A3SWVCOJPJM7KQ","0","0.3","Mon May 27 19:42:43 UTC 2013"
